title,date
"Electric firm Griddy loses access to Texas grid, customers shifted to rivals",12:16am EST
U.S. House tees up vote on Biden's $1.9 trillion COVID-19 relief plan,Feb 26 2021
Lady Gaga's two abducted bulldogs returned unharmed to police,Feb 26 2021
Biden's $1.9 trillion COVID-19 bill clears hurdle toward passage in U.S. House,Feb 26 2021
FBI pinpoints suspect in probe of U.S. Capitol policeman's death: NYT,Feb 26 2021
U.S. CDC says risk of Ebola to the United States is extremely low,Feb 26 2021
White supremacist sentenced to nearly 20 years in plot to bomb Colorado synagogue,Feb 26 2021
"Biden brings empathy to storm-battered Texas, security official lays out state's mistakes",Feb 26 2021
Donald Trump's niece blasts his 'chutzpah' toward her fraud lawsuit,Feb 26 2021
"""Things are tenuous,"" U.S. CDC says as downward trend in COVID-19 cases stalls",Feb 26 2021
"Electric firm Griddy loses access to Texas grid, customers shifted to rivals",12:16am EST
U.S. House tees up vote on Biden's $1.9 trillion COVID-19 relief plan,Feb 26 2021
Lady Gaga's two abducted bulldogs returned unharmed to police,Feb 26 2021
Biden's $1.9 trillion COVID-19 bill clears hurdle toward passage in U.S. House,Feb 26 2021
FBI pinpoints suspect in probe of U.S. Capitol policeman's death: NYT,Feb 26 2021
U.S. CDC says risk of Ebola to the United States is extremely low,Feb 26 2021
White supremacist sentenced to nearly 20 years in plot to bomb Colorado synagogue,Feb 26 2021
"Biden brings empathy to storm-battered Texas, security official lays out state's mistakes",Feb 26 2021
Donald Trump's niece blasts his 'chutzpah' toward her fraud lawsuit,Feb 26 2021
"""Things are tenuous,"" U.S. CDC says as downward trend in COVID-19 cases stalls",Feb 26 2021
Gymnastics: U.S. governing body shocked over death of former coach,Feb 26 2021
"U.S. Capitol riot suspect disavows far-right group, but loses bid for release",Feb 26 2021
"With gold-colored Trump statue, conservatives show fealty to former president",Feb 26 2021
"U.S. pledges to investigate, as attacks on Asian Americans increase",Feb 26 2021
U.S. says more than 300 people charged to date over Capitol riots,Feb 26 2021
New York City schools chancellor steps down as students return to classroom,Feb 26 2021
Poorer Texans already had trouble paying energy bills - then came the storm,Feb 26 2021
State to announce actions in response to Khashoggi killing at 2:30 pm: source,Feb 26 2021
"Analysis: Urban states come out ahead, rural states get less in Biden's COVID-19 relief bill",Feb 26 2021
Mr. Potato Head drops 'Mr.' from brand name,Feb 26 2021
Biden weighs path forward for $15 minimum wage after Senate roadblock,Feb 26 2021
Ohio sues U.S. Census Bureau over delay in population data,Feb 26 2021
Federal judge in Texas strikes down U.S. COVID-19 eviction moratorium,Feb 26 2021
"Trump supporters want to 'blow up' Capitol, police chief warns",Feb 26 2021
Texas lawmakers seek to assign blame for deadly power blackout,Feb 25 2021
Former U.S. Olympics coach dies by suicide after being charged,Feb 25 2021
Nassar whistleblower repeats call for USAG decertification,Feb 25 2021
FCC votes to finalize rules for new temporary low-income internet subsidy,Feb 25 2021
New York officials downplay concern over new coronavirus variant,Feb 25 2021
"New York prosecutors digging into Trump's tax, financial records",Feb 25 2021
U.S. moves to speed up releases of unaccompanied migrant children,Feb 25 2021
Biden: U.S. to launch massive effort to educate Americans about COVID-19 vaccines,Feb 25 2021
Biden's aid bill wildly popular with Americans -- except  Republicans in Congress,Feb 25 2021
"Ex-Olympic gymnastics coach faces human trafficking, other charges",Feb 25 2021
"Dressing up for a photo shoot, Black children learn of civil rights heroes",Feb 25 2021
U.S. extends jobless benefits eligibility to workers worried about COVID-19 safety,Feb 25 2021
U.S. court to reconsider California ban on high-capacity magazines,Feb 25 2021
New York City mayor urges probe of sexual misconduct claims against Governor Cuomo,Feb 25 2021
U.S. has not made 'final decision' on participating in Olympics in China,Feb 25 2021
"In Pennsylvania, Republican rift over Trump imperils party’s election chances",Feb 25 2021
"Majority of Americans support $15 minimum wage, Reuters/Ipsos poll shows",Feb 25 2021
U.S. driving falls 10.3% in December: Department of Transportation,Feb 25 2021
Affirmative action opponents ask U.S. Supreme Court to take up Harvard case,Feb 25 2021
Republican leaders want a show of unity. Will Trump allow it?,Feb 25 2021
United 777 plane flew fewer than half the flights allowed between checks: sources,Feb 25 2021
Texas governor vows to overhaul electric grid operator after storm failure,Feb 25 2021
More than 1.3 million Texans still grappling with water supply disruptions,Feb 25 2021
Ad campaign to combat vaccine hesitancy in U.S. with celebrity help,Feb 25 2021
"Alaska governor contracts COVID-19, rests at home with mild symptoms",Feb 24 2021
U.S. Supreme Court weighs scope of police power to enter homes without a warrant,Feb 24 2021
Biden revokes Trump ban on many green card applicants,Feb 24 2021
Biden administration to distribute more than 25 million masks,Feb 24 2021
"Economic pain from pandemic upends the lives of restaurant owners, entertainers",Feb 24 2021
New York grand jury votes not to indict police officers for Daniel Prude death,Feb 24 2021
U.S. Postal Service on 'death spiral' without urgent reform - chief,Feb 24 2021
Drunken driving charge dropped against Springsteen; $500 fine for drinking at beach,Feb 24 2021
New York mayor sees high school classrooms reopening in current academic year,Feb 24 2021
U.S. senators weigh paring back Biden's $1.9 trillion COVID-19 aid plan,Feb 24 2021
U.S. House plans vote on COVID-19 aid bill on Friday,Feb 24 2021
"NRA sues NY attorney general, says she wants to destroy her 'political enemy'",Feb 24 2021
Vice President Harris urges Black Americans: 'Let's not let COVID get us',Feb 24 2021
U.S. Postal chief commits to 10% of new delivery fleet as electric vehicles,Feb 24 2021
Biden trade czar Tai eagerly awaited in Washington and Brussels,Feb 24 2021
Johnson & Johnson's one-dose vaccine closes in on U.S. approval,Feb 24 2021
U.S. Supreme Court set to weigh Republican-backed voting restrictions,Feb 24 2021
Texas grid operator defends storm performance as sixth director resigns,Feb 24 2021
Trump may soon have to answer rape allegations under oath,Feb 24 2021
Derailed BNSF fuel train fire in Texas nearly extinguished,Feb 24 2021
U.S. to admit asylum seekers from hard-hit camp at Texas border,Feb 24 2021
Factbox: Biden trade czar's to-do list - China tariffs to UK post-Brexit,Feb 24 2021
California to enforce net neutrality after judge rejects challenge by internet providers,Feb 24 2021
Former NYPD officer charged in January 6 attack on Capitol police,Feb 24 2021
'Closer to normality': New York City arenas open doors to elated fans,Feb 23 2021
"Over 3.4 million Texans still facing disrupted water supplies, authorities say",Feb 23 2021
Ahmaud Arbery's mother files civil rights lawsuit on anniversary of his death,Feb 23 2021
Teachers may play role in in-school COVID-19 transmission: U.S. CDC,Feb 23 2021
"FBI warning of potential Capitol violence did not reach top security officials, they say",Feb 23 2021
